date;seconds;direction;bid;ask;price
26/03/2001;32604;-1;66.90;66.95;66.90
26/03/2001;32646;-1;66.90;66.95;66.90
26/03/2001;32764;-1;66.70;67.00;66.70
26/03/2001;32771;-1;66.65;66.70;66.64
26/03/2001;32786;-1;66.60;66.65;66.60
26/03/2001;32838;-1;66.50;66.55;66.42
26/03/2001;32856;1;66.15;66.55;66.55
26/03/2001;33483;-1;66.25;66.35;66.25
26/03/2001;33577;-1;66.20;66.30;66.20
26/03/2001;33788;-1;66.15;66.25;66.15
26/03/2001;33811;-1;66.15;66.20;66.15
26/03/2001;33818;-1;66.10;66.15;66.10
26/03/2001;33986;1;66.00;66.20;66.20
26/03/2001;34210;1;66.05;66.20;66.20
26/03/2001;34254;1;66.05;66.15;66.16
26/03/2001;34480;-1;66.05;66.20;66.05
26/03/2001;34539;-1;66.05;66.20;66.05
26/03/2001;34570;-1;66.00;66.20;66.00
26/03/2001;34574;1;66.00;66.20;66.20
26/03/2001;34796;-1;66.05;66.10;66.05
26/03/2001;34811;-1;66.05;66.10;66.05
26/03/2001;34846;-1;66.05;66.10;66.05
26/03/2001;34847;-1;66.00;66.10;66.00
26/03/2001;34861;-1;66.00;66.15;66.00
26/03/2001;34972;-1;65.85;66.10;65.77
26/03/2001;35292;-1;65.75;66.10;65.75
26/03/2001;35667;1;66.05;66.10;66.10
26/03/2001;35692;1;66.05;66.10;66.10
26/03/2001;35840;1;66.05;66.10;66.10
26/03/2001;35964;1;66.05;66.10;66.10
26/03/2001;35969;1;66.05;66.10;66.10
26/03/2001;35970;1;66.05;66.10;66.10
26/03/2001;35976;1;66.05;66.10;66.10
26/03/2001;35981;1;66.05;66.10;66.10
26/03/2001;35988;1;66.05;66.15;66.15
26/03/2001;36010;1;66.15;66.20;66.20
26/03/2001;36062;1;66.15;66.20;66.20
26/03/2001;36080;1;66.15;66.25;66.25
26/03/2001;36127;1;66.15;66.40;66.40
26/03/2001;36164;1;66.05;66.40;66.40
26/03/2001;36245;1;66.25;66.35;66.35
26/03/2001;36470;1;66.05;66.15;66.15
26/03/2001;36521;1;66.05;66.15;66.15
26/03/2001;36875;-1;66.05;66.15;66.05
26/03/2001;36889;-1;66.05;66.15;66.05
26/03/2001;36900;-1;66.05;66.15;66.05
26/03/2001;36913;-1;66.05;66.15;66.05
26/03/2001;36915;1;66.05;66.15;66.15
26/03/2001;36954;-1;66.05;66.10;66.05
26/03/2001;36955;-1;66.05;66.10;66.05
26/03/2001;36961;-1;66.05;66.10;66.05
26/03/2001;36966;-1;66.05;66.10;66.05
26/03/2001;36971;-1;66.05;66.10;66.05
