date;time;price;q;direction
19/09/2003;90122;138;30;1
19/09/2003;90124;137.652;1000;-1
19/09/2003;90128;138;2948;1
19/09/2003;90130;137.7;19;-1
19/09/2003;90134;137.9;500;1
19/09/2003;90149;137.7;200;-1
19/09/2003;90150;138;40;1
19/09/2003;90159;137.7;1281;-1
19/09/2003;90200;137.7;569;-1
19/09/2003;90228;137.8;2500;-1
19/09/2003;90229;137.8;290;-1
19/09/2003;90253;137.8;44;1
19/09/2003;90344;137.7;2252;-1
19/09/2003;90345;137.7;544;-1
19/09/2003;90401;137.7;160;-1
19/09/2003;90419;137.7;50;-1
19/09/2003;90422;137.8;2045;1
19/09/2003;90423;137.7;1000;-1
19/09/2003;90425;137.8;20;1
19/09/2003;90501;137.8;20;1
19/09/2003;90521;137.8;215;1
19/09/2003;90551;137.7;1428;-1
19/09/2003;90559;137.7;785;-1
19/09/2003;90603;137.8;45;1
19/09/2003;90605;137.7;745;-1
19/09/2003;90606;137.7;169;-1
19/09/2003;90621;137.7;248;-1
19/09/2003;90632;137.7;16;-1
19/09/2003;90639;137.7;157;-1
19/09/2003;90640;137.7;2198;-1
19/09/2003;90645;137.7;40;-1
19/09/2003;90649;137.7;169;-1
19/09/2003;90655;137.7;130;-1
19/09/2003;90655;137.7;130;-1
19/09/2003;90711;137.7;367;-1
19/09/2003;90730;137.7;550;-1
19/09/2003;90751;137.7;1000;-1
19/09/2003;90752;137.7;193;-1
19/09/2003;90756;137.7;200;-1
19/09/2003;90804;137.7;2;-1
19/09/2003;90806;137.7;43;1
19/09/2003;90811;137.7;1455;1
19/09/2003;90823;137.7;474;-1
19/09/2003;90832;137.6;2500;-1
19/09/2003;90833;137.6;26;-1
19/09/2003;90843;137.7;1000;1
19/09/2003;90849;137.7;1500;-1
19/09/2003;90851;137.7;54;1
19/09/2003;90907;137.6;15;-1
19/09/2003;90913;137.6;895;-1
19/09/2003;91007;137.6;169;-1
19/09/2003;91026;137.6;335;-1
19/09/2003;91027;137.7;989;1
19/09/2003;91030;137.7;1511;-1
19/09/2003;91037;137.7;1511;1
19/09/2003;91038;137.7;444;-1
19/09/2003;91038;137.7;261;-1
19/09/2003;91040;137.7;784;-1
19/09/2003;91041;137.7;784;-1
19/09/2003;91043;137.7;2476;-1
19/09/2003;91046;137.7;1300;1
19/09/2003;91048;137.6;592;-1
19/09/2003;91051;137.7;500;-1
19/09/2003;91111;137.5;13;-1
